Track name,Artist name,Album,Playlist name,Type,ISRC,Qobuz - id
"The Art Pepper Quartet (feat. Russ Freeman, Ben Tucker & Gary Frommer) ","Russ Freeman","The Art Pepper Quartet (feat. Russ Freeman, Ben Tucker & Gary Frommer) ","Favorites Albums","Album","0816651013784","0816651013784"
"TONYPITONY","TonyPitony","TONYPITONY","Favorites Albums","Album","0199078855190","eqoxxoxly89yc"
"Red Garland's Piano (Rudy Van Gelder Remasters)","Red Garland","Red Garland's Piano (Rudy Van Gelder Remasters)","Favorites Albums","Album","0088807234960","0088807234960"
"Africa","Pharoah Sanders","Africa","Favorites Albums","Album","0194491106119","e9heferknt84a"
"Horizons","Jasmine Myra","Horizons","Favorites Albums","Album","3663729188090","w383nfatittxb"
"Tomorrow's Yearning","Yesterday's Princess","Tomorrow's Yearning","Favorites Albums","Album","3663729364418","ac1j96586xgna"
"Afro-Harping","Dorothy Ashby","Afro-Harping","Favorites Albums","Album","0004400760372","0004400760372"
"The Liminality of Her (Deluxe Edition)","Amanda Whiting","The Liminality of Her (Deluxe Edition)","Favorites Albums","Album","5050580847613","hmqziiqs52okb"
"Dawn Is A Melody","Finn Rees","Dawn Is A Melody","Favorites Albums","Album","3617384847793","klam4lxf9ji5b"
"Rising","Jasmine Myra","Rising","Favorites Albums","Album","4062548080117","lrxals2tfrgab"
"Don't Forget to Have Fun","Don Glori","Don't Forget to Have Fun","Favorites Albums","Album","3663729291318","vrvl76jd1ux6b"
"Dogs Bark Babies Cry","Yoni Mayraz","Dogs Bark Babies Cry","Favorites Albums","Album","0199350395918","zpi3kkrkrl3yb"
"The Eternal Now","Chip Wickham","The Eternal Now","Favorites Albums","Album","4062548116922","yhto470bqb9fc"
"Cicero Nights","Blue Earth Sound","Cicero Nights","Favorites Albums","Album","3663729373762","gwg09ejxbkovb"
"Journey to the One","Pharoah Sanders","Journey to the One","Favorites Albums","Album","4895241450051","ex80bspqtm2dc"
"Ugetsu [Original Jazz Classics Remasters]","Art Blakey","Ugetsu [Original Jazz Classics Remasters]","Favorites Albums","Album","0088807232692","0088807232692"
"Moon Beams","Bill Evans Trio","Moon Beams","Favorites Albums","Album","0888072662605","m86peefmmnr4a"
"Basra","Pete La Roca","Basra","Favorites Albums","Album","0724386447753","0724386447753"
"Bring It Home To Me","Blue Mitchell","Bring It Home To Me","Favorites Albums","Album","0602577072215","zg200z9atbk3b"
"Some Other Stuff","Grachan Moncur III","Some Other Stuff","Favorites Albums","Album","5099926515250","5099926515250"
"Evolution","Grachan Moncur III","Evolution","Favorites Albums","Album","0060253764701","0060253764701"
"The Kicker","Bobby Hutcherson","The Kicker","Favorites Albums","Album","0724352143757","0724352143757"
"Birth of the Blue","Miles Davis","Birth of the Blue","Favorites Albums","Album","0196872683493","ld7wpvuga90fa"
"Billie Holiday","Billie Holiday","Billie Holiday","Favorites Albums","Album","0602508517372","bxl0muai1ur8b"
"Time Out","The Dave Brubeck Quartet","Time Out","Favorites Albums","Album","0074646512227","0074646512227"
"Amoroso","João Gilberto","Amoroso","Favorites Albums","Album","0603497936236","0603497936236"
"Genius Of Modern Music","Thelonious Monk","Genius Of Modern Music","Favorites Albums","Album","0060253764797","0060253764797"
"Monk's Music","Thelonious Monk Septet","Monk's Music","Favorites Albums","Album","0888072610309","nhmxpj29l96ba"
"Thelonious Alone In San Francisco","Thelonious Monk","Thelonious Alone In San Francisco","Favorites Albums","Album","0888072404632","peuka852xgcdc"
"Let Freedom Ring","Jackie McLean","Let Freedom Ring","Favorites Albums","Album","0060253765162","0060253765162"
"Let My Children Hear Music","Charles Mingus","Let My Children Hear Music","Favorites Albums","Album","0074644891027","0074644891027"
"The Long Way Round","Maya Delilah","The Long Way Round","Favorites Albums","Album","0602475808909","xriif79de4pya"
"Chet","Chet Baker","Chet","Favorites Albums","Album","0888072233942","imredq4mna2zb"
"At The Top: Poinciana Revisited","Ahmad Jamal","At The Top: Poinciana Revisited","Favorites Albums","Album","0602577036309","as1blweohvqtb"
"Monk's Dream","Thelonious Monk","Monk's Dream","Favorites Albums","Album","5099706353621","5099706353621"
"Sun Ship","John Coltrane","Sun Ship","Favorites Albums","Album","0060253737723","0060253737723"
"Brilliant Corners","Thelonious Monk","Brilliant Corners","Favorites Albums","Album","0002521860262","0002521860262"
"Bossa Nova Soul Samba","Ike Quebec","Bossa Nova Soul Samba","Favorites Albums","Album","4069977002710","ihutq13xh2zgc"
"It Might as Well be Spring","Ike Quebec","It Might as Well be Spring","Favorites Albums","Album","5712192259122","m7clb8pogfyjb"
"Blue & Sentimental","Ike Quebec","Blue & Sentimental","Favorites Albums","Album","0060254778062","0060254778062"
"Infinity","Khan Jamal","Infinity","Favorites Albums","Album","5059863557102","bcv16lx63puia"
"Mirage","The Awakening","Mirage","Favorites Albums","Album","0194491789473","jh6cp4ymop9fa"
"A Love Supreme: Live In Seattle","John Coltrane","A Love Supreme: Live In Seattle","Favorites Albums","Album","0602438624812","jgj3exmfroqpa"
"Visions of the Emerald Beyond","Mahavishnu Orchestra","Visions of the Emerald Beyond","Favorites Albums","Album","0074644686722","0074644686722"
"The Inner Mounting Flame","Mahavishnu Orchestra","The Inner Mounting Flame","Favorites Albums","Album","5099706552321","5099706552321"
"Protection","Massive Attack","Protection","Favorites Albums","Album","0724383988358","0724383988358"
"The Carnegie Hall Concert","Alice Coltrane","The Carnegie Hall Concert","Favorites Albums","Album","0602465090369","qjbcjtjc7roxb"
"Hear, Sense and Feel","The Awakening","Hear, Sense and Feel","Favorites Albums","Album","0195081379968","yhmiy6m00iakc"
"Yakhal' Inkomo","Mankunku Quartet","Yakhal' Inkomo","Favorites Albums","Album","6009555143051","i92qpi7jml20a"
"Pieces of a Man","Gil Scott-Heron","Pieces of a Man","Favorites Albums","Album","0029667527484","kjv5c8zne4n8b"
"Savane","Ali Farka Touré","Savane","Favorites Albums","Album","0859381180838","rjq0ch3qxwkua"
"Sorrow Tears and Blood (Edit)","Fela Kuti","Sorrow Tears and Blood (Edit)","Favorites Albums","Album","0720841126300","uc06wxcnrut5a"
"Fela's London Scene","Fela Kuti","Fela's London Scene","Favorites Albums","Album","0720841206491","j64tmxoocqr0a"
"Expensive Shit","Fela Kuti","Expensive Shit","Favorites Albums","Album","0720841207597","byvpo33gj7kwb"
"Fela With Ginger Baker Live!","Fela Kuti","Fela With Ginger Baker Live!","Favorites Albums","Album","0720841206392","yg18sirdvkatb"
"Up & Down","Horace Parlan","Up & Down","Favorites Albums","Album","5099926513751","5099926513751"
"The Thing To Do","Blue Mitchell","The Thing To Do","Favorites Albums","Album","0060254778058","0060254778058"
"Midnight Blue (2012 Remaster)","Kenny Burrell","Midnight Blue (2012 Remaster)","Favorites Albums","Album","0060253764832","0060253764832"
"Zombie","Fela Kuti","Zombie","Favorites Albums","Album","0720841206194","0720841206194"
"Duke Ellington & John Coltrane","Duke Ellington","Duke Ellington & John Coltrane","Favorites Albums","Album","0060254786249","0060254786249"
"On Impulse!","Sonny Rollins","On Impulse!","Favorites Albums","Album","0602567446408","bw3p2mcwtzuka"
"Things Fall Apart","The Roots","Things Fall Apart","Favorites Albums","Album","0007502101475","0007502101475"
"Volume 2","Miles Davis","Volume 2","Favorites Albums","Album","0060253749831","0060253749831"
"Miles and Monk at Newport ","Miles Davis","Miles and Monk at Newport ","Favorites Albums","Album","0886444334037","0886444334037"
"Ready For Freddie","Freddie Hubbard","Ready For Freddie","Favorites Albums","Album","0060253740967","0060253740967"
"Blue Spirits","Freddie Hubbard","Blue Spirits","Favorites Albums","Album","0060254718780","0060254718780"
"Mr. Morale & The Big Steppers (Explicit version)","Kendrick Lamar","Mr. Morale & The Big Steppers (Explicit version)","Favorites Albums","Album","0602448038692","bol3685y6tlfc"
"Steamin' With The Miles Davis Quintet","Miles Davis Quintet","Steamin' With The Miles Davis Quintet","Favorites Albums","Album","0088807239097","0088807239097"
"Workin' With The Miles Davis Quintet","Miles Davis Quintet","Workin' With The Miles Davis Quintet","Favorites Albums","Album","0888072474901","d9xt2qqt4jp6a"
"Black Classical Music","Yussef Dayes","Black Classical Music","Favorites Albums","Album","0197338790748","rr1rbbby5lnta"
"The Yussef Dayes Experience Live at Joshua Tree ","Yussef Dayes","The Yussef Dayes Experience Live at Joshua Tree ","Favorites Albums","Album","5054197290435","blmd1v0s6k22b"
"Harmony of Difference","Kamasi Washington","Harmony of Difference","Favorites Albums","Album","0889030017154","0889030017154"
"The Yussef Dayes Experience ","Yussef Dayes","The Yussef Dayes Experience ","Favorites Albums","Album","0197338156094","ts8v1t0au8rqc"
"The Survivors' Suite","Keith Jarrett","The Survivors' Suite","Favorites Albums","Album","0060254730109","0060254730109"
"Cookin' With The Miles Davis Quintet","Miles Davis Quintet","Cookin' With The Miles Davis Quintet","Favorites Albums","Album","0088807239039","0088807239039"
"Relaxin' With The Miles Davis Quintet","Miles Davis Quintet","Relaxin' With The Miles Davis Quintet","Favorites Albums","Album","0088807239046","0088807239046"
